site,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,sedno_avg,field_collector,
2017_H_04,7/7/2013,20170707,Edge,1,10,0,Sandy mud,Mud,2,1,1.5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,2,20,0,Sandy mud,Mud,2,1,1.5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,3,30,6,Sand,Pebble,4,6,5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,4,40,9,Sandy mud,Sand,2,4,3,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,5,50,0,Sandy mud,Muddy sand,2,3,2.5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,6,60,1,Sandy mud,Cobble,2,8,5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,7,70,1,Sandy mud,Cobble,2,8,5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,8,80,2,Sandy mud,Sandy mud,2,2,2,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,9,90,4,Sandy mud,Sandy mud,2,2,2,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Edge,10,100,2,Sandy mud,Sandy mud,2,2,2,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,1,10,0,Sandy mud,Sandy mud,2,2,2,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,2,20,0,Sandy mud,Sandy mud,2,2,2,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,3,30,1,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,4,40,1,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,5,50,0,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,6,60,0,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,7,70,0,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,8,80,0,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,9,90,0,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Inside,10,100,0,Mud,Mud,1,1,1,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,1,10,0,Mud,Sandy mud,1,2,1.5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,2,20,0,Mud,Sandy mud,1,2,1.5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,3,30,8,Sand,Sand,4,4,4,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,4,40,9,Sand,Pebble,4,6,5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,5,50,3,Sand,Pebble,4,6,5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,6,60,1,Sand,Cobble,4,8,6,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,7,70,0,Sand,Cobble,4,8,6,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,8,80,1,Muddy Sand,Cobble,3,8,5.5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,9,90,0,Muddy Sand,Cobble,3,8,5.5,Tiff Stephens,
2017_H_04,7/7/2013,20170707,Outside,10,100,0,Muddy Sand,Sand,3,4,3.5,Tiff Stephens,
2017_H_05,7/24/2013,20170725,Edge,1,10,0,Sandy mud,Gravel,2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,2,20,0,Sandy mud,Gravel,2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,3,30,0,Sandy mud,Gravel,2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,4,40,0,Sandy mud,Gravel,2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,5,50,1,Sandy mud,Gravel,2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,6,60,0,Sandy mud,Gravel,2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,7,70,0,Sandy mud,Sandy mud,2,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,8,80,0,Sandy mud,Sandy mud,2,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,9,90,0,Sandy mud,Mud,2,1,1.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Edge,10,100,0,Sandy mud,Mud,2,1,1.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,1,10,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,2,20,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,3,30,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,4,40,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,5,50,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,6,60,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,7,70,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,8,80,1,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,9,90,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Inside,10,100,0,Mud,Mud,1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,1,10,3,Sand,Gravel,4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,2,20,6,Sand,Gravel,4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,3,30,7,Sand,Gravel,4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,4,40,7,Sand,Gravel,4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,5,50,6,Coarse Sand,Gravel,5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,6,60,5,Coarse Sand,Gravel,5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,7,70,3,Coarse Sand,Gravel,5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,8,80,14,Coarse Sand,Gravel,5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,9,90,25,Coarse Sand,Gravel,5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_05,7/24/2013,20170725,Outside,10,100,5,Gravel,Sand,7,4,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
2017_H_06,7/23/2013,20170724,Edge,1,10,15,Muddy Sand,Pebble,3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,2,20,8,Sandy mud,Sand,2,4,3,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,3,30,7,Sandy mud,Sand,2,4,3,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,4,40,9,Mud,Sandy mud,1,2,1.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,5,50,12,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,6,60,9,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,7,70,15,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,8,80,5,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,9,90,10,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Edge,10,100,6,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,1,10,5,Muddy Sand,Mud,3,1,2,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,2,20,5,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,3,30,3,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,4,40,3,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,5,50,6,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,6,60,4,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,7,70,2,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,8,80,9,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,9,90,2,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Inside,10,100,7,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,1,10,4,Muddy Sand,Mud,3,1,2,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,2,20,15,Pebble,Sand,6,4,5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,3,30,14,Muddy Sand,Pebble,3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,4,40,22,Muddy Sand,Pebble,3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,5,50,19,Mud,Cobble,1,8,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,6,60,12,Mud,Gravel,1,7,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,7,70,7,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,8,80,4,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,9,90,2,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,10,100,3,Mud,Sandy mud,1,2,1.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_L_01,7/8/2013,20170709,Edge,1,10,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,2,20,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,3,30,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,4,40,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,5,50,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,6,60,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,7,70,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,8,80,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,9,90,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,10,100,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,1,10,0,Sandy mud,Sandy mud,2,2,2,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,2,20,0,Sandy mud,Sandy mud,2,2,2,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,3,30,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,4,40,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,5,50,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,6,60,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,7,70,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,8,80,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,9,90,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,10,100,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Outside,1,10,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,2,20,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,3,30,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,4,40,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,5,50,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,6,60,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,7,70,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,8,80,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,9,90,0,Sand,Sand,4,4,4,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,10,100,0,Sand,Sand,4,4,4,Tiff Stephens,
2017_L_02,7/14/2013,20170715,Edge,1,10,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,2,20,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,3,30,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,4,40,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,5,50,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,6,60,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,7,70,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,8,80,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,9,90,0,Pebble,Sand,6,4,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,10,100,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,1,10,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,2,20,0,Sand,Sand,4,4,4,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,3,30,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,4,40,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,5,50,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,6,60,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,7,70,1,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,8,80,0,Sand,Sand,4,4,4,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,9,90,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,10,100,0,Sand,Sand,4,4,4,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,1,10,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,2,20,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,3,30,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,4,40,1,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,5,50,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,6,60,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,7,70,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,8,80,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,9,90,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Outside,10,100,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_03,7/23/2013,20170724,Edge,1,10,0,Sandy mud,Sandy mud,2,2,2,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,2,20,0,Sandy mud,Sandy mud,2,2,2,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,3,30,0,Sandy mud,Mud,2,1,1.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,4,40,0,Sandy mud,Mud,2,1,1.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,5,50,0,Mud,Sandy mud,1,2,1.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,6,60,0,Sand,Pebble,4,6,5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,7,70,0,Pebble,Pebble,6,6,6,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Edge,8,80,0,Sand,Pebble,4,6,5,Ashley Bolwerk,
