SIN,ID,Date.Collected,Size.mm,Species,Frozen.Weight,Live.Weight,Date.Dissected,Dissected.Weight,Notes,SEX,Site.location,Season,site.number,Dried,Ash,Bomb,SI,SPV,Tissue,PreyCat
404068,19-014,2/18/19,52.5,prs,46.81,NA,3/4/19,22.45,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404069,19-015,2/18/19,54,prs,51.2,NA,3/4/19,20.55,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404070,18-389,8/2/18,54,prs,60.08,NA,8/14/18,17.67,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404071,19-072s,2/19/19,64,pio,172.6,NA,4/8/19,17.61,Alberto Is,NA,Craig,Winter,5,FM135AIPan,y,l,ptn,NA,stomach,Star
404072,18-354,8/10/18,47,stf,39.15,NA,8/14/18,16.14,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Urchin
404073,19-017,2/18/19,44,prs,27.11,NA,3/4/19,9.81,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404074,18-387,8/2/18,46,cln,29.34,NA,8/14/18,14.67,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404075,18-313,8/2/18,47,cln,32.85,NA,8/9/18,14.66,South Pass,NA,Soda Bay,Summer,18,FM135AIPan,y,l,ptn,NA,whole,Clam
404076,18-356,8/10/18,49,stf,39.3,NA,8/14/18,12.85,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Urchin
404077,19-022,2/18/19,44.5,cln,26.02,NA,3/4/19,12.27,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404078,18-393,8/2/18,45.5,prs,27.01,NA,8/14/18,12.14,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404079,18-384,8/2/18,43,sag,22.21,NA,8/14/18,11.52,"North pass, photos, weird shell",NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,NA,whole,Clam
404080,18-390,8/2/18,45,prs,33.02,NA,8/14/18,11.14,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,y,whole,Clam
404081,18-349,8/10/18,46,std,36.41,NA,8/14/18,10.76,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,y,whole,Urchin
404082,18-391,8/2/18,46,prs,29.45,NA,8/14/18,10.29,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,y,whole,Clam
404083,18-392,8/2/18,42.5,prs,22.33,NA,8/14/18,9.6,North Pass,NA,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,y,whole,Clam
404084,19-072g,2/19/19,64,pio,172.6,NA,4/8/19,9.53,Alberto Is,NA,Craig,Winter,5,FM135AIPan,y,l,ptn,NA,gonads,Star
404085,19-075,2/17/19,53,stf,51.52,NA,4/8/19,9,"Not full of gonads, mostly food. Took photos on phone. Soda Bay",NA,Soda Bay,Winter,9,FM135AIPan,y,l,ptn,y,whole,Urchin
404086,19-011,2/18/19,43.5,sag,18.74,NA,3/4/19,8.82,Wadleigh,NA,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Clam
404087,18-314,8/2/18,43,cln,25.49,NA,8/9/18,8.7,South Pass,NA,Soda Bay,Summer,18,FM135AIPan,y,l,ptn,y,whole,Clam
404088,19-076,2/17/19,47,stf,41.71,NA,4/8/19,8.61,Soda Bay,NA,Soda Bay,Winter,9,FM135AIPan,p,l,ptn,y,whole,Urchin
404089,19-072f,2/19/19,64,pio,172.6,NA,4/8/19,7.91,Alberto Is,NA,Craig,Winter,5,FM135AIPan,NA,l,ptn,NA,feet,Star
404090,18-353,8/10/18,43,stf,27.49,NA,8/14/18,7.33,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,NA,l,ptn,y,whole,Urchin
404091,18-649s,5/13/18,49,evt,104.33,NA,4/3/19,6.99,Alberto Is,NA,Craig,Spring,5,FM135AIPan,NA,l,NA,NA,stomach,Star
404092,18-651f,5/13/18,88,pio,273.23,NA,4/3/19,6.88,Alberto Is,NA,Craig,Spring,5,FM135AIPan,NA,l,ptn,NA,feet,Star
404093,18-640,7/28/18,103,pas,11.55,NA,4/1/19,6.38,"South Pass, beach seine",NA,Soda Bay,Summer,30,FM135AIPan,NA,l,NA,NA,whole,Crab
404094,18-351,8/10/18,40,std,25.26,NA,8/14/18,6.01,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,NA,l,ptn,y,whole,Urchin
404095,18-322,8/8/18,37,std,20.16,NA,8/9/18,5.91,Alberto Is.,NA,Craig,Summer,5,FM135AIPan,p,l,ptn,y,whole,Urchin
404096,18-329,8/8/18,36,stf,22.02,NA,8/9/18,5.68,Alberto Is.,NA,Craig,Summer,5,FM135AIPan,NA,l,ptn,y,whole,Urchin
404097,18-348,8/10/18,43,std,27.28,NA,8/14/18,5.58,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,NA,l,ptn,y,whole,Urchin
404098,18-350,8/10/18,37.5,std,22.24,NA,8/14/18,5.45,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,p,l,ptn,y,whole,Urchin
404099,18-347,8/10/18,38.5,std,26.07,NA,8/14/18,5.4,Soda Bay,NA,Soda Bay,Summer,9,FM135AIPan,NA,l,ptn,y,whole,Urchin
404100,18-650s,5/13/18,47,evt,74.09,NA,4/3/19,5.06,Alberto Is,NA,Craig,Spring,5,FM135AIPan,NA,NA,NA,NA,stomach,Star
404101,19-074,2/19/19,26,evt,32.31,NA,4/8/19,5.03,"Alberto Is, too small to separate",NA,Craig,Winter,5,FM135AIPan,NA,l,ptn,NA,whole,Star
404102,18-641,7/28/18,91,pas,8.8,NA,4/1/19,4.41,"South Pass, beach seine",NA,Soda Bay,Summer,30,FM135AIPan,NA,l,NA,NA,whole,Crab
404103,18-671s,8/8/18,59,evt,204.06,NA,6/19/19,46.65,Alberto,NA,Craig,Summer,5,FM135AIPan,NA,NA,NA,NA,stomach,Star
404104,18-674s,5/17/18,71,evt,405.11,NA,6/19/19,52.1,Soda Bay,NA,Soda Bay,Spring,8,FM135AIPan,NA,NA,NA,NA,stomach,Star
404105,18-514,8/8/18,46,cam,18.07,NA,1/23/19,7.47,S Wadleigh,m,Craig,Summer,2,FM135AIPan,y,l,ptn,y,whole,Crab
404106,18-515,8/8/18,68,cam,59.53,NA,1/23/19,21.84,S Wadleigh,m,Craig,Summer,2,FM135AIPan,y,l,ptn,y,whole,Crab
404107,18-516,8/8/18,83,cam,99.59,NA,1/23/19,50.28,S Wadleigh,f,Craig,Summer,2,FM135AIPan,y,l,ptn,y,whole,Crab
404108,19-067,2/19/19,75.5,cam,79.69,NA,3/20/19,29.51,"Wadleigh pots, separate vial with .7g of eggs",f,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Crab
404109,19-068,2/19/19,62,cam,43.38,NA,3/20/19,16.5,"Wadleigh pots, separate vial with 1.07g of eggs",f,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Crab
404110,18-526,8/3/18,63,cam,40.98,NA,1/28/19,19.7,"Kaguk, eggs",f,Nossuk,Summer,20,FM135AIPan,y,l,ptn,NA,whole,Crab
404111,18-527,8/3/18,79,cam,74.67,NA,1/28/19,27.27,"Kaguk, eggs",f,Nossuk,Summer,20,FM135AIPan,y,l,ptn,NA,whole,Crab
404112,19-069,2/17/19,66,cam,48.74,NA,3/27/19,22.32,"Soda bay, location 1",m,Soda Bay,Winter,8,FM135AIPan,y,l,ptn,y,whole,Crab
404113,19-070,2/17/19,61,cam,46.22,NA,3/27/19,17.67,"Soda bay, location 1, separate vial with .7g eggs",f,Soda Bay,Winter,8,FM135AIPan,y,l,ptn,y,whole,Crab
404114,18-502,8/8/18,106,cap,191.22,NA,12/13/18,59.94,Alberto,m,Craig,Summer,5,FM135AIPan,y,l,ptn,y,whole,Crab
404115,18-512,8/8/18,89,cap,96.96,NA,12/21/18,39.98,S Wadleigh,"f, gravid",Craig,Summer,2,FM135AIPan,y,l,ptn,y,whole,Crab
404116,18-418,7/28/18,145,cap,364.35,NA,8/14/18,173.67,North Pass,m,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,y,whole,Crab
404117,18-419,7/28/18,170,cap,517.09,NA,8/14/18,220.94,North Pass,m,Soda Bay,Summer,15,FM135AIPan,y,l,ptn,y,whole,Crab
404118,19-066,2/19/19,78,cap,70.4,NA,3/20/19,34.88,Wadleigh pots,m,Craig,Winter,2,FM135AIPan,y,l,ptn,y,whole,Crab
404119,18-484,8/8/18,48,tec,32.89,NA,9/11/18,11.52,"Alberto, kept some eggs aside for SI",f,Craig,Summer,5,FM135AIPan,y,l,ptn,NA,whole,Crab
404120,18-420,8/10/18,75,tec,103.53,NA,8/14/18,47.09,Soda Bay,m,Soda Bay,Summer,9,FM135AIPan,y,l,ptn,NA,whole,Crab
404121,19-071,2/17/19,45,tec,45.42,NA,4/5/19,17.69,Soda Bay,m,Soda Bay,Winter,8,DO,NA,l,ptn,NA,whole,Crab
404122,18-131,5/3/18,35,mtr,3.7,NA,5/26/18,1.44,NA,NA,Craig,Spring,2,DO,NA,NA,ptn,NA,whole,Mussel
404123,18-132,5/3/18,24.5,mtr,1.91,NA,5/26/18,0.58,NA,NA,Craig,Spring,2,DO,NA,NA,ptn,NA,whole,Mussel
404124,18-135,5/3/18,25,mtr,2.42,NA,5/26/18,0.67,NA,NA,Craig,Spring,2,DO,NA,NA,ptn,NA,whole,Mussel
404125,18-302,8/8/18,45.5,mtr,10.66,NA,8/9/18,4.12,S. Wadleigh,NA,Craig,Summer,2,DO,NA,l,ptn,NA,whole,Mussel
404126,18-303,8/8/18,43,mtr,8.68,NA,8/9/18,4.37,S. Wadleigh,NA,Craig,Summer,2,DO,NA,l,ptn,NA,whole,Mussel
404127,18-304,8/8/18,37.5,mtr,7.01,NA,8/9/18,3,S. Wadleigh,NA,Craig,Summer,2,DO,NA,l,ptn,NA,whole,Mussel
404128,19-024,2/18/19,34.5,mtr,4.83,NA,3/4/19,1.34,NA,NA,Craig,Winter,2,DO,NA,NA,ptn,NA,whole,Mussel
404129,19-025,2/18/19,26,mtr,2.4,NA,3/4/19,0.62,"bagged with 026, 027, wadleigh",NA,Craig,Winter,2,DO,NA,NA,ptn,NA,whole,Mussel
404130,19-028,2/18/19,29,mtr,1.73,NA,3/4/19,0.79,"bagged with 029, 030",NA,Craig,Winter,2,DO,NA,NA,ptn,NA,whole,Mussel
404131,19-089s,2/18/19,34,evt,39.51,NA,6/11/19,2.56,Wadleigh,NA,Craig,Winter,2,DO,NA,NA,NA,NA,stomach,Star
404132,19-089g,2/18/19,34,evt,39.51,NA,6/11/19,0.64,Wadleigh,NA,Craig,Winter,2,DO,NA,NA,NA,NA,gonads,Star
404133,19-089f,2/18/19,34,evt,39.51,NA,6/11/19,0.84,Wadleigh,NA,Craig,Winter,2,DO,NA,NA,NA,NA,feet,Star
404134,19-067e,2/19/19,75.5,cam,79.69,NA,3/20/19,0.7,"Wadleigh pots, separate vial with .7g of eggs",f,Craig,Winter,2,DO,NA,l,ptn,NA,eggs,Crab
404135,19-068e,2/19/19,62,cam,43.38,NA,3/20/19,1.07,"Wadleigh pots, separate vial with 1.07g of eggs",f,Craig,Winter,2,DO,NA,l,ptn,NA,eggs,Crab
404136,18-678f,5/13/18,43,evt,105.73,NA,6/21/19,4.95,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,feet,Star
404137,18-678g,5/13/18,43,evt,105.73,NA,6/21/19,8.35,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,gonads,Star
404138,18-678s,5/13/18,43,evt,105.73,NA,6/21/19,6.2,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,stomach,Star
404139,18-679f,5/13/18,70,pio,233.38,NA,6/21/19,11.93,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,feet,Star
404140,18-679g,5/13/18,70,pio,233.38,NA,6/21/19,10.14,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,gonads,Star
404141,18-679s,5/13/18,70,pio,233.38,NA,6/21/19,31.94,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,stomach,Star
404142,18-680f,5/13/18,58,pio,219.34,NA,6/21/19,14.38,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,feet,Star
404143,18-680g,5/13/18,58,pio,219.34,NA,6/21/19,15.56,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,gonads,Star
404144,18-680s,5/13/18,58,pio,219.34,NA,6/21/19,20.91,NA,NA,Craig,Spring,5,DO,NA,NA,NA,NA,stomach,Star
404145,18-697,5/13/18,22,evt,16.39,NA,6/21/19,1.8,NA,NA,Craig,Spring,5,DO,NA,l,ptn,NA,whole,Star
404146,18-570f,5/13/18,51,pio,57.18,NA,6/11/19,1.43,Alberto,NA,Craig,Spring,5,DO,NA,NA,NA,NA,feet,Star
404147,18-570s,5/13/18,51,pio,57.18,NA,6/11/19,5.45,Alberto,NA,Craig,Spring,5,DO,NA,NA,NA,NA,stomach,Star
404148,18-606f,5/13/18,84,pio,468.48,NA,NA,26.37,Alberto,NA,Craig,Spring,5,DO,NA,NA,NA,NA,feet,Star
404149,18-606g,5/13/18,84,pio,468.48,NA,NA,4.85,Alberto,NA,Craig,Spring,5,DO,NA,NA,NA,NA,gonads,Star
404150,18-606s,5/13/18,84,pio,468.48,NA,NA,70.8,Alberto,NA,Craig,Spring,5,DO,NA,NA,NA,NA,stomach,Star
404151,18-649f,5/13/18,49,evt,104.33,NA,4/3/19,3.51,Alberto Is,NA,Craig,Spring,5,DO,NA,l,NA,NA,feet,Star
404152,18-649g,5/13/18,49,evt,104.33,NA,4/3/19,0.74,Alberto Is,NA,Craig,Spring,5,DO,NA,l,NA,NA,gonads,Star
404153,18-650f,5/13/18,47,evt,74.09,NA,4/3/19,2.84,Alberto Is,NA,Craig,Spring,5,DO,NA,NA,NA,NA,feet,Star
404154,18-273,5/13/18,31.5,pup,7.58,NA,8/8/18,1.45,San Alberto,m,Craig,Spring,5,DO,NA,l,ptn,y,whole,Crab
404155,18-274,5/13/18,71,pup,193.21,NA,8/8/18,53.24,San Alberto,m,Craig,Spring,5,DO,p,l,ptn,y,whole,Crab
404156,18-035,5/13/18,64,hak,28.44,NA,5/20/18,18.56,NA,NA,Craig,Spring,5,DO,NA,l,NA,NA,whole,Abalone
404157,18-066,5/13/18,30.5,mtr,2.79,NA,5/20/18,0.68,NA,NA,Craig,Spring,5,DO,NA,NA,ptn,NA,whole,Mussel
404158,18-067,5/13/18,27,mtr,1.95,NA,5/20/18,0.63,NA,NA,Craig,Spring,5,DO,NA,NA,ptn,NA,whole,Mussel
404159,18-070,5/13/18,23,mtr,1.19,NA,5/20/18,0.5,NA,NA,Craig,Spring,5,DO,NA,NA,ptn,NA,whole,Mussel
404161,18-333,8/8/18,51,cef,14.82,NA,8/9/18,2.79,Alberto Is.,NA,Craig,Summer,5,DO,p,l,ptn,y,whole,Carn Snail
404162,18-317,8/8/18,180,crg,NA,NA,8/9/18,267.45,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,NA,NA,whole,Scallop
404163,18-318,8/8/18,160,crg,1006.41,NA,8/9/18,177.34,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,NA,NA,whole,Scallop
404164,18-344,8/8/18,115,crs,159.65,NA,8/9/18,43.93,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,NA,NA,whole,Chiton
404165,18-669f,8/8/18,42,evt,70.95,NA,6/19/19,1.72,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404166,18-669g,8/8/18,42,evt,70.95,NA,6/19/19,0.66,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404167,18-669s,8/8/18,42,evt,70.95,NA,6/19/19,11.25,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404168,18-670f,8/8/18,50,evt,126.19,NA,6/19/19,2.13,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404169,18-670g,8/8/18,50,evt,126.19,NA,6/19/19,1.97,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404170,18-670s,8/8/18,50,evt,126.19,NA,6/19/19,15.87,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404171,18-671f,8/8/18,59,evt,204.06,NA,6/19/19,3.31,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404172,18-671g,8/8/18,59,evt,204.06,NA,6/19/19,3.49,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404173,18-693f,8/8/18,40,evt,70.78,NA,6/21/19,1.69,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404174,18-693s,8/8/18,40,evt,70.78,NA,6/21/19,5.8,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404175,18-694f,8/8/18,42,evt,84.5,NA,6/21/19,4.41,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404176,18-694g,8/8/18,42,evt,84.5,NA,6/21/19,3.8,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404177,18-694s,8/8/18,42,evt,84.5,NA,6/21/19,12.9,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404178,18-661f,8/8/18,73,pio,396.19,NA,6/18/19,10.09,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404179,18-661g,8/8/18,73,pio,396.19,NA,6/18/19,8.69,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404180,18-661s,8/8/18,73,pio,396.19,NA,6/18/19,63.19,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404181,18-662f,8/8/18,64,pio,281.67,NA,6/18/19,12.64,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404182,18-662g,8/8/18,64,pio,281.67,NA,6/18/19,6.34,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404183,18-662s,8/8/18,64,pio,281.67,NA,6/18/19,41.16,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404184,18-672f,8/8/18,56,pio,195.62,NA,6/19/19,5.16,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404185,18-672g,8/8/18,56,pio,195.62,NA,6/19/19,0.99,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404186,18-672s,8/8/18,56,pio,195.62,NA,6/19/19,31.91,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404187,18-695f,8/8/18,57,pio,204.18,NA,6/21/19,3.65,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404188,18-695g,8/8/18,57,pio,204.18,NA,6/21/19,0.34,"Alberto, signs of wasting disease",NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404189,18-695s,8/8/18,57,pio,204.18,NA,6/21/19,25.42,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404190,18-696f,8/8/18,77,pio,519.43,NA,6/21/19,29.36,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,feet,Star
404191,18-696g,8/8/18,77,pio,519.43,NA,6/21/19,17.84,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,gonads,Star
404192,18-696s,8/8/18,77,pio,519.43,NA,6/21/19,102.12,Alberto,NA,Craig,Summer,5,DO,NA,NA,NA,NA,stomach,Star
404193,18-320,8/8/18,50,pom,17.26,NA,8/9/18,4.65,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,NA,NA,whole,Scallop
404194,18-480,8/8/18,36,pup,19.01,NA,9/11/18,7.21,Alberto,m,Craig,Summer,5,DO,p,l,ptn,y,whole,Crab
404195,18-481,8/8/18,58,pup,67.53,NA,9/11/18,12.78,Alberto,m,Craig,Summer,5,DO,p,l,ptn,y,whole,Crab
404196,18-482,8/8/18,58,pup,116.09,NA,9/11/18,38.25,Alberto,m,Craig,Summer,5,DO,p,l,ptn,y,whole,Crab
404197,18-323,8/8/18,31,std,10.25,NA,8/9/18,2.97,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,ptn,y,whole,Urchin
404198,18-324,8/8/18,29.5,std,8.79,NA,8/9/18,2.04,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,ptn,y,whole,Urchin
404199,18-325,8/8/18,23.5,std,5.38,NA,8/9/18,1.18,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,ptn,y,whole,Urchin
404200,18-328,8/8/18,32,stf,13.01,NA,8/9/18,3.13,Alberto Is.,NA,Craig,Summer,5,DO,NA,NA,NA,NA,whole,Urchin
404201,18-484e,8/8/18,48,tec,32.89,NA,9/11/18,NA,"Alberto, kept some eggs aside for SI",f,Craig,Summer,5,DO,NA,l,ptn,NA,eggs,Crab
404202,18-335,8/8/18,25.5,tes,7.69,NA,8/9/18,1.12,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,ptn,y,whole,Herb Snail
404203,18-336,8/8/18,26,tes,6.55,NA,8/9/18,0.99,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,ptn,y,whole,Herb Snail
404204,18-337,8/8/18,24,tes,6.94,NA,8/9/18,0.76,Alberto Is.,NA,Craig,Summer,5,DO,NA,l,ptn,y,whole,Herb Snail
404205,19-036,2/19/19,59,cef,16.26,NA,3/4/19,2.44,Alberto Is,NA,Craig,Winter,5,DO,p,l,ptn,y,whole,Carn Snail
404206,19-037,2/19/19,58,cef,15.72,NA,3/4/19,2.17,Alberto Is,NA,Craig,Winter,5,DO,NA,l,ptn,y,whole,Carn Snail
404207,19-073,2/19/19,21,evt,11.99,NA,4/8/19,1.09,"Alberto Is, too small to separate",NA,Craig,Winter,5,DO,NA,l,ptn,NA,whole,Star
404208,19-123,2/19/19,26,lid,2.5,NA,6/19/19,0.64,Lira,NA,Craig,Winter,5,DO,NA,l,ptn,NA,whole,Carn Snail
404209,19-124,2/19/19,29,lid,2.39,NA,6/19/19,0.45,Lira,NA,Craig,Winter,5,DO,NA,l,ptn,NA,whole,Carn Snail
404210,19-088,2/19/19,29,mtr,2.26,NA,6/12/19,0.74,"Aberto, was with the PIO",NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Mussel
404211,19-135,2/19/19,36,mtr,5.16,NA,6/21/19,1.93,NA,NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Mussel
404212,19-136,2/19/19,35,mtr,3.95,NA,6/21/19,1.27,NA,NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Mussel
404213,19-116,2/19/19,29,nul,2.64,NA,6/19/19,0.96,NA,NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Carn Snail
404214,19-117,2/19/19,22,nul,1.55,NA,6/19/19,0.52,NA,NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Carn Snail
404215,19-118,2/19/19,28,nul,2.68,NA,6/19/19,0.55,NA,NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Carn Snail
404216,19-087f,2/19/19,91,pio,471.82,NA,6/12/19,21.2,Alberto,NA,Craig,Winter,5,DO,NA,NA,NA,NA,feet,Star
404217,19-087g,2/19/19,91,pio,471.82,NA,6/12/19,113.5,Alberto,NA,Craig,Winter,5,DO,NA,NA,NA,NA,gonads,Star
404218,19-087s,2/19/19,91,pio,471.82,NA,6/12/19,35.6,Alberto,NA,Craig,Winter,5,DO,NA,NA,NA,NA,stomach,Star
404219,19-128,2/19/19,19,map,2.87,NA,6/19/19,0.25,"either calistoma spp, or Margarites pupillus",NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Herb Snail
404220,19-130,2/19/19,15,map,1.36,NA,6/19/19,0.22,"either calistoma spp, or Margarites pupillus",NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Herb Snail
404221,19-131,2/19/19,20,map,3.1,NA,6/19/19,0.17,"either calistoma spp, or Margarites pupillus",NA,Craig,Winter,5,DO,NA,NA,ptn,NA,whole,Herb Snail
404222,19-125,2/19/19,21,tes,3.96,NA,6/19/19,0.38,NA,NA,Craig,Winter,5,DO,NA,l,ptn,y,whole,Herb Snail
404223,18-673f,5/17/18,59,evt,273.96,NA,6/19/19,13.72,Soda Bay,NA,Soda Bay,Spring,8,DO,NA,NA,NA,NA,feet,Star
404224,18-673g,5/17/18,59,evt,273.96,NA,6/19/19,2.48,Soda Bay,NA,Soda Bay,Spring,8,DO,NA,NA,NA,NA,gonads,Star
404225,18-673s,5/17/18,59,evt,273.96,NA,6/19/19,48.99,Soda Bay,NA,Soda Bay,Spring,8,DO,NA,NA,NA,NA,stomach,Star
