Prey code,Common Name,Species name,Class name,Class ID
alg,algae with invertebrate fuana,,other,14
amh,sand lance,Ammodytes hexapterus,fish,6
apc,CA sea cucumber,"Apostichopus californicus, formerly known as Parastichopus",other,14
bas,"barnacle, various species",,barnacle,13
biv,"bivalve, unidentified",,clam,2
cag,graceful crab,Metacarcinus gracilis,crab,4
cam,dungeness crab,"Metacarcinus magister, formerlly cancer",crab,4
can,cancer crab,Cancer sp.,crab,4
cao,Pygmy rock crab,Cancer oregonensis,crab,4
cap,Red rock crab,Cancer productus,crab,4
cas,top snail,Calliostoma spp.,snail,9
cef,Leafy hornmouth,Ceratostoma foliatum,snail,9
chb,tanner crab,Chinocetes bairdi,crab,4
chi,"chiton, various species",,chiton,11
chr,Pink Scallop,Chlamys rubdia,clam,2
cla,"clam, unidentified",,clam,2
cla,"clam, unidentified",,clam,2
cln,nuttal's cockle,Clinocardium nuttallii,clam,2
cra,"crab, unidentified",,crab,4
crg,giant rock scallop,Crassadoma gigantea,clam,2
crp,rose star/common sunstar,Crossaster papposus,star,8
crs,gumboot chiton,Cryptochiton stelleri,chiton,11
cuc,sea cucumber unk species,,other,14
cuf,orange footed sea cucumber,Cucumaria frondosa,other,14
cum,orange sea cucumber,Cucumaria miniata,other,14
dei,Leather star,Dermasterias imbricata,star,8
den,"sand dollar, ",Dendraster sp.,other,14
ecs,fat innkeeper worm,Echiuris sp.,worm,10
enn,Northwest ugly clam,Entodesma navicula,clam,2
eul,Moon snail,Euspira lewisii,snail,9
evt,Mottled sea star,Evasterias troscheli,star,8
feg,fish egg mass,,fishegg ,6
fis,"fish, various species",,fish,6
fla,"flatfish, various species",,fish,6
fuo,Hairy Triton,fusotriton oregonensis,snail,9
gac,gari californica,CA sunset clam,clam,2
goc,basket star,"gorgonocephalus eucnemis, formerly G. caryi",star,8
gre,greenling,Hexagrammos sp.,fish,6
haa,Sea peach,halocynthia aurantium,other,14
hak,Pinto abalone,Haliotis kamtschatkana,abalone,7
hes,Shore crab,Hemigrapsus spp,crab,4
hyl,Lyre crab,hyas lyratus,crab,4
kat,black katy chiton,Katharina sp.,chiton,11
lim,"limpet, various species",,limpet,12
man,bent nosed clam,Macoma nasuta,clam,2
map,Stimpson's Surfclam,mactromeris polynyma,clam,2
mas,macoma clam,macoma spp,clam,2
moc,hairy chiton,Mopaila ciliata,chiton,11
mom,horse mussel,Modiolus modiolus,mussel,3
msc,discordant mussel,Musculus spp.,mussel,3
mtr,blue mussel,Mytilus trossulus,mussel,3
mus,"mussel, unidentified",,mussel,3
mya,softshell clam,Mya arenaria,clam,2
mys,"Mya sp., softshell clam",Mya spp.,clam,2
myt,soft-shell clam,Mya truncata,clam,2
nes,whelk,neptunea spp.,snail,9
nuc,Dog whelk,Nucella spp,snail,9
ocd,giant pacific octopus,Enteroctopus dofleini,cephalopod,5
ocr,red octopus,Octopus rubescens,cephalopod,5
ops,brittle star,Ophiopsilla spp,star,8
paa,Bat star,Patiria miniata,star,8
pab,Geoduck,Panopea abrupta,clam,2
pac,red king crab,Paralithodes camtschaticus,crab,4
pag,pagurid hermit crabs,,crab,4
pas,pandalus shrimp,,other,14
pes,pisaster or mottled sea star,Pisaster ochraceus or Evasterias troscheli,star,8
pha,Sipunculida worms,"Phascolosoma agassizi, Golfingia procera",worm,10
pio,ochre star,Pisaster ochraceus,star,8
pom,rock jingle,Pododesmus macrochisma,clam,2
prs,littleneck clam,"Leukoma staminea, formerally protothaca staminea",clam,2
pug,kelp crab,pugettia gracilis,crab,4
pup,Northern kelp crab,Pugettia productus,crab,4
pur,Cryptic kelp crab,Pugettia richii,crab,4
pus,kelp crab,pugettia spp.,crab,4
pyh,sunflower star,Pycnopodia helianthoides,star,8
sag,butter clam,Saxidomus giganteus,clam,2
sca,"scallop, various species",,clam,2
seg,clam,serripes groenlandicus,clam,2
sip,razor clam,Siliqua patula,clam,2
sis,jackknife clam,Solen sicarius,clam,2
sna,"marine snail, various species",,snail,9
sos,sunstar,Solaster spp,star,8
spo,sponge,,other,14
sta,"sea star, various species",,star,8
std,green urchin,Strongylocentrotus droebachiensis,urchin,1
stf,red urchin,Strongylocentrotus franciscanus,urchin,1
stp,purple urchin,Strongylocentrotus purpuratus,urchin,1
tec,Helmet crab,Telmesus spp.,crab,4
tef,Turban snail,Tegula funebralis,snail,9
trc,fat gaper clam,Tresus capax,clam,2
tun,"tunicates, various species",,other,14
urc,"urchin, various species",,urchin,1
wea,weathervane scallop,Patinopecten caurinus,clam,2
wor,"worm, various species",,worm,10
wrl,worm-like prey,,worm,10
zip,Rough piddock,Zirfaea pilsbryi,clam,2